"black",1,0,1,1,1,1,1
"black",1,0,0,1,2,0,0
"black",1,0,0,0,2,0,2
"black",1,0,0,3,1,0,0
"black",1,0,0,0,3,0,0
"black",1,0,2,1,1,2,1
"black",1,0,2,1,0,2,2
"black",1,1,4,0,0,4,0
"black",2,1,2,0,2,2,3
"black",2,1,0,0,3,0,3
"black",2,2,1,2,4,1,0
"black",2,2,0,0,0,0,5
"black",2,2,0,3,5,0,0
"black",2,3,0,0,0,0,0
"black",3,3,3,3,5,3,3
"black",3,4,0,7,0,0,0
"black",3,4,0,6,3,0,0
"black",3,5,0,7,0,0,0
"red",3,0,0,0,0,0,3
"red",3,0,0,1,0,0,1
"red",3,0,2,0,1,2,0
"red",3,0,0,0,1,0,2
"red",3,0,1,0,1,1,2
"red",3,0,1,0,1,1,1
"red",3,0,0,2,0,0,2
"red",3,1,0,0,0,0,4
"red",3,1,3,2,0,3,0
"red",3,1,0,2,0,0,2
"red",3,2,4,0,2,4,1
"red",3,2,0,0,0,0,3
"red",3,2,0,0,0,0,0
"red",3,3,0,6,0,0,0
"red",3,3,5,0,3,5,3
"red",3,4,0,0,7,0,0
"red",3,4,3,3,6,3,0
"red",3,5,0,3,7,0,0
"green",3,0,1,0,0,1,2
"green",3,0,2,2,0,2,0
"green",3,0,3,0,1,3,1
"green",3,0,1,1,0,1,1
"green",3,0,1,1,0,1,1
"green",3,0,1,2,0,1,0
"green",3,0,0,3,0,0,0
"green",3,1,0,0,0,0,0
"green",3,1,0,3,2,0,3
"green",3,1,3,0,0,3,2
"green",3,2,2,0,0,2,4
"green",3,2,0,0,5,0,0
"green",3,2,5,0,3,5,0
"green",3,3,0,0,6,0,0
"green",3,3,3,3,0,3,5
"green",3,4,6,0,3,6,3
"green",3,4,7,0,0,7,0
"green",3,5,7,0,3,7,0
"blue",3,0,0,0,0,0,1
"blue",3,0,0,2,1,0,1
"blue",3,0,0,1,1,0,1
"blue",3,0,1,1,3,1,0
"blue",3,0,0,0,0,0,0
"blue",3,0,0,2,2,0,1
"blue",3,0,0,0,2,0,0
"blue",3,1,0,4,0,0,0
"blue",3,1,2,3,2,2,0
"blue",3,1,2,0,3,2,0
"blue",3,2,3,0,0,3,5
"blue",3,2,5,0,0,5,0
"blue",3,2,0,1,0,0,2
"blue",3,3,6,0,0,6,0
"blue",3,3,0,3,3,0,3
"blue",3,4,0,0,0,0,7
"blue",3,4,3,0,0,3,6
"blue",3,5,3,0,0,3,7
"white",3,0,2,0,2,2,0
"white",3,0,0,2,0,0,0
"white",3,0,1,1,1,1,0
"white",3,0,3,0,0,3,0
"white",3,0,2,0,2,2,0
"white",3,0,1,1,2,1,0
"white",3,0,1,0,0,1,3
"white",3,1,0,0,4,0,0
"white",3,1,0,2,3,0,0
"white",3,1,3,3,0,3,2
"white",3,2,0,4,1,0,0
"white",3,2,0,5,0,0,0
"white",3,2,0,5,0,0,0
"white",3,3,0,0,0,0,6
"white",3,3,3,5,3,3,0
"white",3,4,0,0,0,0,0
"white",3,4,0,3,0,0,3
"white",3,5,0,0,0,0,3
